rank,material_id,formula,space_group,theta_D_K,lambda,lambda_source,Tc_estimated_K,Tc_experimental_K,R_tau,R_tau_multi,n_channels,channels,channels_needed_300K,pressure_GPa,notes
20,mp-1196193,FeSn4H24C8(Se5N)2,I-4,193.8,2.400,hydride heuristic (H_count=24),28.24,0.0,0.060825,0.243300,4,phonon+spin+topological+orbital,11,0.0,
21,mp-1208611,Th6Mn23H44,Fm-3m,270.7,2.400,hydride heuristic (H_count=44),39.44,0.0,0.118652,0.237305,2,phonon+spin,8,0.0,
22,mp-1178328,Fe2H6(SeO4)3,R3c,207.9,1.800,hydride heuristic (H_count=6),23.59,0.0,0.054502,0.218007,4,phonon+spin+topological+orbital,13,0.0,
23,mp-24003,CoSnH12(OF)6,R-3,183.2,2.400,hydride heuristic (H_count=12),26.70,0.0,0.054348,0.217393,4,phonon+spin+topological+orbital,12,0.0,
24,mp-32565,Tb4H9,I4/mmm,272.5,2.100,hydride heuristic (H_count=9),35.60,0.0,0.107801,0.215602,2,phonon+spin,9,0.0,
25,mp-1212422,Ho2Fe17H3,P6_3/mmc,280.0,1.350,hydride heuristic (H_count=4),23.05,0.0,0.071729,0.215188,3,phonon+spin+orbital,14,0.0,
26,mp-1202248,ReH30Ru2(NCl)10,C2/m,182.2,2.400,hydride heuristic (H_count=30),26.54,0.0,0.053726,0.214902,4,phonon+spin+topological+orbital,12,0.0,
27,mp-1207462,Zr6Co(SnH5)2,P-62c,261.1,1.500,hydride heuristic (H_count=5),24.44,0.0,0.070899,0.212698,3,phonon+spin+topological,13,0.0,
28,mp-1227207,CaEuH6Ru,F-43m,235.9,1.800,hydride heuristic (H_count=6),26.77,0.0,0.070185,0.210554,3,phonon+spin+orbital,12,0.0,
29,mp-1201322,Ce2TeMo6(H6O7)6,P-1,201.3,1.800,hydride heuristic (H_count=6),22.85,0.0,0.051098,0.204392,4,phonon+spin+topological+charge,14,0.0,
30,mp-1018647,YbNiH3,Pm-3m,294.0,1.200,hydride heuristic (H_count=3),20.60,0.0,0.067272,0.201815,3,phonon+spin+orbital,15,0.0,
31,mp-626855,Fe4H14O13,P1,203.4,2.400,hydride heuristic (H_count=14),29.63,0.0,0.066967,0.200900,3,phonon+spin+orbital,11,0.0,
32,mp-643907,Zr2FeH5,P4/ncc,253.1,1.500,hydride heuristic (H_count=5),23.69,0.0,0.066625,0.199874,3,phonon+spin+orbital,13,0.0,
33,mp-1210396,NaCu5Sb2As6(H9O17)2,P-1,214.0,2.100,hydride heuristic (H_count=9),27.95,0.0,0.066462,0.199386,3,phonon+spin+topological,11,0.0,
34,mp-709886,CuH5Pb4SO11,P2_1/c,252.8,1.500,hydride heuristic (H_count=5),23.66,0.0,0.066451,0.199354,3,phonon+spin+topological,13,0.0,
35,mp-24122,CoSiH12(OF)6,R-3,174.7,2.400,hydride heuristic (H_count=12),25.45,0.0,0.049411,0.197645,4,phonon+spin+topological+orbital,12,0.0,
36,mp-505576,Zr6Al7Cu16H9,Fm-3m,260.1,2.100,hydride heuristic (H_count=9),33.98,0.0,0.098219,0.196438,2,phonon+spin,9,0.0,
37,mp-1207445,Zr6Ga2CoH10,P-62c,254.8,2.200,hydride heuristic (H_count=10),34.61,0.0,0.097981,0.195961,2,phonon+spin,9,0.0,
38,mp-1221452,NaFe6H12S4O29,P2/m,200.1,2.400,hydride heuristic (H_count=12),29.16,0.0,0.064841,0.194523,3,phonon+spin+orbital,11,0.0,
39,mp-1224807,K2Fe9H18S6O43,C2/m,199.0,2.400,hydride heuristic (H_count=18),29.00,0.0,0.064130,0.192389,3,phonon+spin+orbital,11,0.0,
40,mp-1238517,NaFe9H18(S3O22)2,C2/m,199.0,2.400,hydride heuristic (H_count=18),28.99,0.0,0.064106,0.192318,3,phonon+spin+orbital,11,0.0,
41,mp-1226890,Ce4H11,I4/mmm,247.9,2.300,hydride heuristic (H_count=11),34.92,0.0,0.096156,0.192312,2,phonon+spin,9,0.0,
42,mp-1191470,Th2Fe17H3,R-3m,286.9,1.200,hydride heuristic (H_count=3),20.10,0.0,0.064068,0.192204,3,phonon+spin+orbital,15,0.0,
43,mp-1224576,KFe6H12S4O29,P2/m,198.9,2.400,hydride heuristic (H_count=12),28.98,0.0,0.064044,0.192133,3,phonon+spin+orbital,11,0.0,
44,mp-1223165,NaFe9H18(S3O22)2,C2/m,198.5,2.400,hydride heuristic (H_count=18),28.93,0.0,0.063815,0.191446,3,phonon+spin+orbital,11,0.0,
45,mp-1199324,Na2Cu3H8(SeO4)4,P2_1/c,210.5,2.000,hydride heuristic (H_count=8),26.35,0.0,0.061629,0.184888,3,phonon+spin+topological,12,0.0,
46,mp-1208090,Tm2Fe17H3,P6_3/mmc,281.0,1.200,hydride heuristic (H_count=3),19.69,0.0,0.061466,0.184398,3,phonon+spin+orbital,16,0.0,
47,mp-1213007,Er2Fe17H3,P6_3/mmc,280.7,1.200,hydride heuristic (H_count=3),19.67,0.0,0.061336,0.184009,3,phonon+spin+orbital,16,0.0,
48,mp-1213248,Dy2Fe17H3,P6_3/mmc,278.8,1.200,hydride heuristic (H_count=3),19.53,0.0,0.060493,0.181480,3,phonon+spin+orbital,16,0.0,
49,mp-1208578,Tb2Fe17H3,P6_3/mmc,278.7,1.200,hydride heuristic (H_count=3),19.52,0.0,0.060456,0.181369,3,phonon+spin+orbital,16,0.0,
50,mp-1195193,Ag12Sn7H16(Se11N2)2,C2/c,235.3,2.400,hydride heuristic (H_count=16),34.29,0.0,0.089642,0.179285,2,phonon+topological,9,0.0,
51,mp-1190514,Sm2Fe17H3,R-3m,276.6,1.200,hydride heuristic (H_count=3),19.38,0.0,0.059576,0.178729,3,phonon+spin+orbital,16,0.0,
52,mp-1190701,Ce2Fe17H3,R-3m,275.0,1.200,hydride heuristic (H_count=3),19.27,0.0,0.058877,0.176631,3,phonon+spin+orbital,16,0.0,
53,mp-542856,CeNiSnH2,P6_3/mmc,273.5,1.000,light-element hydride heuristic,14.52,0.0,0.044112,0.176449,4,phonon+spin+topological+orbital,21,0.0,
54,mp-1104290,Ti3H3Au,Pm-3n,274.8,1.200,hydride heuristic (H_count=3),19.25,0.0,0.058763,0.176290,3,phonon+spin+topological,16,0.0,
55,mp-510582,NdNiSnH2,P6_3/mmc,272.2,1.000,light-element hydride heuristic,14.44,0.0,0.043681,0.174723,4,phonon+spin+topological+orbital,21,0.0,
56,mp-1201346,Na2U2FeH8(C3O7)4,P-1,204.5,2.000,hydride heuristic (H_count=8),25.59,0.0,0.058146,0.174438,3,phonon+spin+orbital,12,0.0,
57,mp-557210,Cu3NiH6(ClO3)2,R-3m,213.3,1.800,hydride heuristic (H_count=6),24.21,0.0,0.057382,0.172145,3,phonon+spin+orbital,13,0.0,
58,mp-510581,PrNiSnH2,P6_3/mmc,269.9,1.000,light-element hydride heuristic,14.32,0.0,0.042940,0.171760,4,phonon+spin+topological+orbital,21,0.0,
59,mp-729033,MnCuH10Se2(ClO5)2,Pnma,194.3,2.200,hydride heuristic (H_count=10),26.40,0.0,0.056990,0.170970,3,phonon+spin+topological,12,0.0,
60,mp-759221,Li3Fe4P3H12O19,R3c,187.2,2.400,hydride heuristic (H_count=12),27.28,0.0,0.056745,0.170235,3,phonon+spin+orbital,11,0.0,
61,mp-24805,LaNiSnH2,P6_3/mmc,266.7,1.000,light-element hydride heuristic,14.15,0.0,0.041946,0.167784,4,phonon+spin+topological+orbital,22,0.0,
62,mp-1207771,Y2Fe17H3,P6_3/mmc,267.7,1.200,hydride heuristic (H_count=3),18.76,0.0,0.055798,0.167393,3,phonon+spin+orbital,16,0.0,
63,mp-1189370,Ce2Zn2Sn2H3,P6_3mc,267.3,1.200,hydride heuristic (H_count=3),18.73,0.0,0.055625,0.166875,3,phonon+spin+topological,17,0.0,
64,mp-24135,AlH18Ru(NF)6,Pa-3,184.8,2.400,hydride heuristic (H_count=18),26.92,0.0,0.055263,0.165788,3,phonon+spin+orbital,12,0.0,
65,mp-23975,NiH12C2(SN3)2,C2/m,159.9,2.400,hydride heuristic (H_count=12),23.30,0.0,0.041385,0.165540,4,phonon+spin+topological+orbital,13,0.0,
66,mp-1207559,Yb3H2Pb,Cmcm,305.6,1.000,light-element hydride heuristic,16.22,0.0,0.055085,0.165256,3,phonon+spin+topological,19,0.0,
67,mp-643656,Li5H9Pt2,I4/mcm,236.6,2.100,hydride heuristic (H_count=9),30.91,0.0,0.081256,0.162511,2,phonon+topological,10,0.0,
68,mp-863429,CuH10SeO9,P-1,189.2,2.200,hydride heuristic (H_count=10),25.71,0.0,0.054058,0.162173,3,phonon+spin+topological,12,0.0,
69,mp-40573,FeCu2H21(O5F4)2,P1,182.7,2.400,hydride heuristic (H_count=21),26.61,0.0,0.054012,0.162036,3,phonon+spin+orbital,12,0.0,
70,mp-697962,Eu6Mg7H26,C2/m,223.4,2.400,hydride heuristic (H_count=26),32.56,0.0,0.080831,0.161662,2,phonon+spin,10,0.0,
71,mp-1202295,CoH10SeO9,P-1,187.1,2.200,hydride heuristic (H_count=10),25.42,0.0,0.052830,0.158491,3,phonon+spin+topological,12,0.0,
72,mp-643378,CuH4Pb2(ClO2)2,P4mm,239.8,1.350,hydride heuristic (H_count=4),19.74,0.0,0.052616,0.157847,3,phonon+spin+topological,16,0.0,
73,mp-703398,CuH20Se2(NO7)2,P2_1/c,180.1,2.400,hydride heuristic (H_count=20),26.25,0.0,0.052539,0.157616,3,phonon+spin+topological,12,0.0,
74,mp-743972,K2NaNb2Fe7Si8H4O31,P-1,207.3,1.350,hydride heuristic (H_count=4),17.07,0.0,0.039318,0.157274,4,phonon+spin+charge+orbital,18,0.0,
75,mp-733650,CuH6(SeO4)2,P2_1/c,203.7,1.800,hydride heuristic (H_count=6),23.11,0.0,0.052302,0.156907,3,phonon+spin+topological,13,0.0,
76,mp-29658,ZrNiH3,Cmcm,258.0,1.200,hydride heuristic (H_count=3),18.08,0.0,0.051830,0.155490,3,phonon+spin+orbital,17,0.0,
77,mp-1217816,TaVH4,R-3m,290.9,1.350,hydride heuristic (H_count=4),23.95,0.0,0.077432,0.154864,2,phonon+topological,13,0.0,
78,mp-1207571,Yb3SnH2,Cmcm,295.1,1.000,light-element hydride heuristic,15.66,0.0,0.051343,0.154030,3,phonon+spin+topological,20,0.0,
79,mp-722787,K4P4H7(RuO9)2,P2_1/c,196.4,1.900,hydride heuristic (H_count=7),23.46,0.0,0.051200,0.153600,3,phonon+spin+orbital,13,0.0,
80,mp-1102484,ThCoH4,Cmcm,289.4,1.350,hydride heuristic (H_count=4),23.83,0.0,0.076613,0.153226,2,phonon+spin,13,0.0,
81,mp-758573,H16Ru3C6(Cl3O7)2,P-1,177.2,2.400,hydride heuristic (H_count=16),25.82,0.0,0.050838,0.152515,3,phonon+spin+orbital,12,0.0,
82,mp-1196537,FeAs2H18(C2I)3,Pnma,176.7,2.400,hydride heuristic (H_count=18),25.75,0.0,0.050567,0.151700,3,phonon+spin+orbital,12,0.0,
83,mp-707509,CuH6Se2NClO6,Pnma,200.0,1.800,hydride heuristic (H_count=6),22.69,0.0,0.050418,0.151255,3,phonon+spin+topological,14,0.0,
84,mp-643790,CeNiSnH,Pnma,278.1,0.900,light-element hydride heuristic,12.08,0.0,0.037335,0.149340,4,phonon+spin+topological+orbital,25,0.0,
85,mp-736330,FeGe4H24C8(S5N)2,I-4,175.2,2.400,hydride heuristic (H_count=24),25.53,0.0,0.049695,0.149085,3,phonon+spin+orbital,12,0.0,
86,mp-603609,AlH20Ru(Cl3O5)2,P2_1/c,175.1,2.400,hydride heuristic (H_count=20),25.51,0.0,0.049614,0.148843,3,phonon+spin+orbital,12,0.0,
87,mp-1217657,ZnCu15H24(ClO3)8,P-1,214.0,2.400,hydride heuristic (H_count=24),31.18,0.0,0.074146,0.148292,2,phonon+spin,10,0.0,
88,mp-510580,NdNiSnH,Pnma,276.9,0.900,light-element hydride heuristic,12.04,0.0,0.037038,0.148154,4,phonon+spin+topological+orbital,25,0.0,
89,mp-1216483,ZnCu15H24(ClO3)8,R-3m,213.7,2.400,hydride heuristic (H_count=24),31.13,0.0,0.073922,0.147844,2,phonon+spin,10,0.0,
90,mp-24659,UH3,Pm-3n,307.6,1.200,hydride heuristic (H_count=3),21.55,0.0,0.073654,0.147307,2,phonon+spin,14,0.0,
91,mp-977385,NpH3,I4/mmm,307.1,1.200,hydride heuristic (H_count=3),21.51,0.0,0.073402,0.146805,2,phonon+spin,14,0.0,
92,mp-504970,UH3,Pm-3n,306.6,1.200,hydride heuristic (H_count=3),21.48,0.0,0.073151,0.146303,2,phonon+spin,14,0.0,
93,mp-510579,PrNiSnH,Pnma,274.1,0.900,light-element hydride heuristic,11.91,0.0,0.036292,0.145167,4,phonon+spin+topological+orbital,26,0.0,
94,mp-1215245,ZrTi(NiH3)2,Amm2,248.4,1.200,hydride heuristic (H_count=3),17.40,0.0,0.048026,0.144078,3,phonon+spin+orbital,18,0.0,
95,mp-777764,LiFeP3H8O13,P-1,185.7,2.000,hydride heuristic (H_count=8),23.25,0.0,0.047990,0.143969,3,phonon+spin+orbital,13,0.0,
96,mp-996945,Cs2TlInH6,Fm-3m,238.7,1.800,hydride heuristic (H_count=6),27.09,0.0,0.071827,0.143654,2,phonon+topological,12,0.0,
97,mp-1181729,Eu2Mg3H10,C2/m,217.3,2.200,hydride heuristic (H_count=10),29.53,0.0,0.071305,0.142610,2,phonon+spin,11,0.0,
98,mp-1120805,H12PbC2(I3N)2,P1,209.8,2.400,hydride heuristic (H_count=12),30.57,0.0,0.071270,0.142540,2,phonon+topological,10,0.0,
99,mp-1190843,NpH3,P-3c1,302.2,1.200,hydride heuristic (H_count=3),21.17,0.0,0.071088,0.142176,2,phonon+spin,15,0.0,
100,mp-510577,LaNiSnH,Pnma,271.0,0.900,light-element hydride heuristic,11.78,0.0,0.035460,0.141841,4,phonon+spin+topological+orbital,26,0.0,
101,mp-1182039,Li3H24Ru(ClO2)6,R-3c,170.7,2.400,hydride heuristic (H_count=24),24.87,0.0,0.047168,0.141503,3,phonon+spin+orbital,13,0.0,
102,mp-570642,H12W3C4NCl9,P-3m1,207.3,2.400,hydride heuristic (H_count=12),30.20,0.0,0.069538,0.139077,2,phonon+topological,10,0.0,
103,mp-23679,PuH3,P6_3/mmc,298.7,1.200,hydride heuristic (H_count=3),20.93,0.0,0.069446,0.138892,2,phonon+spin,15,0.0,
104,mp-1220597,Nb3SnH2,Ama2,279.7,1.000,light-element hydride heuristic,14.84,0.0,0.046119,0.138358,3,phonon+topological+charge,21,0.0,
105,mp-1080055,NpH3,P6_3/mmc,298.0,1.200,hydride heuristic (H_count=3),20.87,0.0,0.069105,0.138211,2,phonon+spin,15,0.0,
106,mp-1205715,CeCo5H4,Cmmm,274.2,1.350,hydride heuristic (H_count=4),22.58,0.0,0.068791,0.137582,2,phonon+spin,14,0.0,
107,mp-1226142,K7Mo12H29Pt2O59,P1,206.1,2.400,hydride heuristic (H_count=29),30.03,0.0,0.068768,0.137535,2,phonon+topological,10,0.0,
108,mp-644292,Eu2MgH6,P-3m1,233.0,1.800,hydride heuristic (H_count=6),26.44,0.0,0.068453,0.136905,2,phonon+spin,12,0.0,
109,mp-1212004,LiNiBP2H6O11,P6_122,190.2,1.800,hydride heuristic (H_count=6),21.58,0.0,0.045602,0.136806,3,phonon+spin+orbital,14,0.0,
110,mp-1204058,Zn3Cu2H14(SO9)2,P-1,205.2,2.400,hydride heuristic (H_count=14),29.90,0.0,0.068198,0.136395,2,phonon+spin,11,0.0,
111,mp-632656,HoH3,P-3c1,271.8,1.350,hydride heuristic (H_count=4),22.38,0.0,0.067579,0.135159,2,phonon+spin,14,0.0,
112,mp-770576,FeH12(SO7)2,P2_1/c,166.7,2.400,hydride heuristic (H_count=12),24.29,0.0,0.044976,0.134927,3,phonon+spin+orbital,13,0.0,
113,mp-989560,Cs2TlSiH6,Fm-3m,231.1,1.800,hydride heuristic (H_count=6),26.23,0.0,0.067341,0.134682,2,phonon+topological,12,0.0,
114,mp-865610,LuH3,I4/mmm,293.5,1.200,hydride heuristic (H_count=3),20.56,0.0,0.067033,0.134066,2,phonon+spin,15,0.0,
115,mp-1095185,Y2CrH6,Fm-3m,230.1,1.800,hydride heuristic (H_count=6),26.12,0.0,0.066781,0.133562,2,phonon+spin,12,0.0,
116,mp-1201664,CdCu4H14(SO9)2,P2_1/m,202.9,2.400,hydride heuristic (H_count=14),29.57,0.0,0.066679,0.133357,2,phonon+spin,11,0.0,
117,mp-1199326,SrH4Ir(OF3)2,P2_1/c,220.3,1.350,hydride heuristic (H_count=4),18.14,0.0,0.044403,0.133209,3,phonon+topological+orbital,17,0.0,
118,mp-1022726,Ba2CuH6,Cmce,229.8,1.800,hydride heuristic (H_count=6),26.08,0.0,0.066581,0.133163,2,phonon+spin,12,0.0,
119,mp-1105830,Zr2CuH5,C2/m,252.8,1.500,hydride heuristic (H_count=5),23.66,0.0,0.066466,0.132933,2,phonon+spin,13,0.0,
120,mp-634930,YbH3,Fm-3m,292.1,1.200,hydride heuristic (H_count=3),20.47,0.0,0.066438,0.132876,2,phonon+spin,15,0.0,
121,mp-695946,NiH16C4S4(N4Cl)2,I4,165.4,2.400,hydride heuristic (H_count=16),24.09,0.0,0.044272,0.132816,3,phonon+spin+orbital,13,0.0,
122,mp-759391,Co2H21I7(N2O)3,Pnma,202.3,2.400,hydride heuristic (H_count=21),29.47,0.0,0.066243,0.132486,2,phonon+spin,11,0.0,
123,mp-1104060,Nd2H5,I4_1/amd,252.3,1.500,hydride heuristic (H_count=5),23.61,0.0,0.066207,0.132413,2,phonon+spin,13,0.0,
124,mp-568788,La2AlNi9H2,P1,273.4,1.000,light-element hydride heuristic,14.51,0.0,0.044071,0.132213,3,phonon+spin+orbital,21,0.0,
125,mp-1195083,FeH12C2(NCl2)2,Pccn,164.8,2.400,hydride heuristic (H_count=12),24.01,0.0,0.043968,0.131904,3,phonon+spin+orbital,13,0.0,
126,mp-643923,Zr2CoH5,P4/ncc,251.8,1.500,hydride heuristic (H_count=5),23.56,0.0,0.065919,0.131837,2,phonon+spin,13,0.0,
127,mp-1194613,FeH12C2(NCl2)2,P4_2/ncm,164.6,2.400,hydride heuristic (H_count=12),23.98,0.0,0.043865,0.131594,3,phonon+spin+orbital,13,0.0,
128,mp-1187412,Th(NiH)2,P6/mmm,300.3,0.900,light-element hydride heuristic,13.05,0.0,0.043546,0.130638,3,phonon+spin+orbital,23,0.0,
129,mp-643930,Eu2H4Pd,Pnma,267.2,1.350,hydride heuristic (H_count=4),22.00,0.0,0.065310,0.130620,2,phonon+spin,14,0.0,
130,mp-1200155,Cu5H14(SO9)2,P-1,200.6,2.400,hydride heuristic (H_count=14),29.22,0.0,0.065120,0.130240,2,phonon+spin,11,0.0,
131,mp-1079923,H3W,P2_1/m,288.4,1.200,hydride heuristic (H_count=3),20.20,0.0,0.064723,0.129446,2,phonon+topological,15,0.0,
132,mp-1101430,NiH12(SO7)2,P2_1/c,163.0,2.400,hydride heuristic (H_count=12),23.75,0.0,0.043008,0.129024,3,phonon+spin+orbital,13,0.0,
133,mp-772564,NiH8(CO5)2,P2_1/c,175.6,2.000,hydride heuristic (H_count=8),21.98,0.0,0.042890,0.128669,3,phonon+spin+orbital,14,0.0,
134,mp-505732,FeCoH18(CN2)6,R-3,162.6,2.400,hydride heuristic (H_count=18),23.70,0.0,0.042821,0.128464,3,phonon+spin+orbital,13,0.0,
135,mp-766680,MnCu4H14(SO9)2,C2,198.9,2.400,hydride heuristic (H_count=14),28.97,0.0,0.064016,0.128031,2,phonon+spin,11,0.0,
136,mp-707703,Th8Al4H11,P-42m,285.5,2.300,hydride heuristic (H_count=11),40.22,0.0,0.127603,0.127603,1,phonon,8,0.0,
137,mp-24202,Th4H15,I-43d,280.1,2.400,hydride heuristic (H_count=15),40.81,0.0,0.127027,0.127027,1,phonon,8,0.0,
138,mp-1199713,K4Np3H8Cl7O10,P-1,213.3,2.000,hydride heuristic (H_count=8),26.70,0.0,0.063272,0.126545,2,phonon+spin,12,0.0,
139,mp-1191788,Sm2Co17H3,R-3m,284.9,1.200,hydride heuristic (H_count=3),19.96,0.0,0.063161,0.126321,2,phonon+spin,16,0.0,
140,mp-1191245,LuH3,P-3c1,284.6,1.200,hydride heuristic (H_count=3),19.94,0.0,0.063044,0.126088,2,phonon+spin,16,0.0,
141,mp-1213920,Ce2Co17H3,P6_3/mmc,284.5,1.200,hydride heuristic (H_count=3),19.93,0.0,0.063022,0.126045,2,phonon+spin,16,0.0,
142,mp-759409,H18RuC6(SCl)3,Pna2_1,161.0,2.400,hydride heuristic (H_count=18),23.46,0.0,0.041962,0.125886,3,phonon+spin+orbital,13,0.0,
143,mp-1104579,Ce2H5,I4_1/amd,245.9,1.500,hydride heuristic (H_count=5),23.02,0.0,0.062897,0.125794,2,phonon+spin,14,0.0,
144,mp-1018063,ErH3,Fm-3m,283.7,1.200,hydride heuristic (H_count=3),19.88,0.0,0.062659,0.125318,2,phonon+spin,16,0.0,
145,mp-24478,PuH8(SO6)2,Pnma,212.1,2.000,hydride heuristic (H_count=8),26.55,0.0,0.062589,0.125177,2,phonon+spin,12,0.0,
146,mp-541763,Mn5As4(H11O13)2,P-1,199.7,2.300,hydride heuristic (H_count=11),28.13,0.0,0.062404,0.124807,2,phonon+spin,11,0.0,
147,mp-1173805,Na6Np2H10S4O25,P1,202.9,2.200,hydride heuristic (H_count=10),27.56,0.0,0.062127,0.124254,2,phonon+spin,11,0.0,
148,mp-1196411,Ce2H16S3O20,Pc,195.9,2.400,hydride heuristic (H_count=16),28.54,0.0,0.062100,0.124199,2,phonon+spin,11,0.0,
149,mp-1225931,Fe4As4H4O19,P1,212.2,1.350,hydride heuristic (H_count=4),17.47,0.0,0.041174,0.123523,3,phonon+spin+orbital,18,0.0,
150,mp-24103,CuH12Br4(NO)2,P4_2/mnm,194.8,2.400,hydride heuristic (H_count=12),28.38,0.0,0.061420,0.122840,2,phonon+spin,11,0.0,
151,mp-1204287,UH8(SO6)2,Pnma,210.1,2.000,hydride heuristic (H_count=8),26.30,0.0,0.061411,0.122822,2,phonon+spin,12,0.0,
152,mp-571170,H32RuC8N4Cl7,P2_12_12,159.0,2.400,hydride heuristic (H_count=32),23.17,0.0,0.040935,0.122806,3,phonon+spin+orbital,13,0.0,
153,mp-1147709,Sr2CuH6,Cmce,220.5,1.800,hydride heuristic (H_count=6),25.02,0.0,0.061295,0.122590,2,phonon+spin,12,0.0,
154,mp-740732,UP3H10BrO8,Pbcm,201.3,2.200,hydride heuristic (H_count=10),27.35,0.0,0.061190,0.122380,2,phonon+spin,11,0.0,
155,mp-1204210,UH18N5F7,P2_1/c,194.1,2.400,hydride heuristic (H_count=18),28.28,0.0,0.061007,0.122013,2,phonon+spin,11,0.0,
156,mp-707201,Cu4H10SO12,Pc,201.0,2.200,hydride heuristic (H_count=10),27.31,0.0,0.061006,0.122011,2,phonon+spin,11,0.0,
157,mp-1213839,CeCo5H3,Cccm,279.3,1.200,hydride heuristic (H_count=3),19.57,0.0,0.060724,0.121449,2,phonon+spin,16,0.0,
158,mp-24152,HoH2,Fm-3m,279.3,1.200,hydride heuristic (H_count=3),19.57,0.0,0.060718,0.121436,2,phonon+spin,16,0.0,
159,mp-865922,FeH4Br3N,P6_3,210.3,1.350,hydride heuristic (H_count=4),17.31,0.0,0.040449,0.121347,3,phonon+spin+orbital,18,0.0,
160,mp-1199114,PuP2H6CO8,P2_1/c,219.3,1.800,hydride heuristic (H_count=6),24.89,0.0,0.060638,0.121277,2,phonon+spin,13,0.0,
161,mp-1203361,Eu2H16S3O20,C2/c,193.1,2.400,hydride heuristic (H_count=16),28.14,0.0,0.060382,0.120764,2,phonon+spin,11,0.0,
162,mp-1191179,TmH3,P-3c1,277.9,1.200,hydride heuristic (H_count=3),19.47,0.0,0.060128,0.120257,2,phonon+spin,16,0.0,
163,mp-1191845,Y2Co17H3,R-3m,277.4,1.200,hydride heuristic (H_count=3),19.43,0.0,0.059900,0.119801,2,phonon+spin,16,0.0,
164,mp-644246,EuH3Pd,Pm-3m,277.0,1.200,hydride heuristic (H_count=3),19.40,0.0,0.059707,0.119415,2,phonon+spin,16,0.0,
