epoch_idx,stage,tau,sigma_schnakenberg,sigma_multiscale,sigma_neural
237,W,0.062603,0.000445,0.010389,0.614086
238,W,0.011663,0.001676,0.016544,0.582430
239,W,0.026947,0.000852,0.025579,0.929646
240,W,0.022705,0.000146,0.020455,0.739975
241,W,0.007200,0.001545,0.023259,0.641958
242,W,0.006664,0.002423,0.019578,0.293794
243,W,0.004080,0.000457,0.029798,0.204517
244,W,0.009031,0.001334,0.010733,0.878695
245,W,0.015620,0.002565,0.020969,0.152079
246,W,0.004995,0.002030,0.024743,0.049742
247,W,0.019491,0.000292,0.001193,0.477866
248,W,0.001679,0.000123,0.025372,0.331597
249,W,0.046083,0.000537,0.045674,0.344249
250,W,0.004192,0.002251,0.005939,0.371294
251,W,0.013116,0.001746,0.010289,0.654515
252,W,0.010622,0.000043,0.012638,0.210280
253,W,0.008224,0.002877,0.011016,0.610090
254,W,0.064502,0.004331,0.034030,0.344757
255,W,0.002790,0.003357,0.010158,0.986945
256,W,0.010376,0.002159,0.011356,0.378115
257,W,0.014450,0.001749,0.005131,0.536907
258,W,0.003540,0.000081,0.010947,0.234867
259,W,0.024369,0.002645,0.023991,0.212380
260,W,0.007952,0.003261,0.014059,0.252245
261,W,0.004175,0.001632,0.010589,0.266196
262,W,0.022841,0.001415,0.036184,0.896175
263,W,0.001881,0.000271,0.019572,0.448990
264,W,0.012295,0.002237,0.038602,0.198833
265,W,0.011027,0.002162,0.013205,0.497993
266,W,0.010348,0.000771,0.020150,0.420190
267,W,0.010179,0.000113,0.013022,0.519514
268,W,0.013868,0.002709,0.010398,0.483509
269,W,0.051031,0.000217,0.010988,0.476177
270,W,0.033962,0.000854,0.004457,0.952848
271,W,0.006792,0.001031,0.025796,0.321329
272,W,0.007679,0.001810,0.015952,1.406778
273,W,0.124608,0.001646,0.003538,0.622907
274,W,0.060004,0.000826,0.062619,0.403596
275,W,0.015683,0.002599,0.009863,0.613488
276,W,0.007338,0.002229,0.064318,0.579987
277,W,0.032142,0.005348,0.023941,0.461544
278,W,0.013538,0.003705,0.007939,0.740399
279,W,0.020944,0.003855,0.028682,2.078008
280,W,0.003836,0.001460,0.015361,1.250012
281,W,0.050390,0.003787,0.021364,0.928962
282,W,0.026919,0.000764,0.015154,1.148836
283,W,0.049728,0.000978,0.024630,0.590794
284,W,0.007998,0.003300,0.026416,0.581779
285,W,0.008821,0.000611,0.018675,0.464704
286,W,0.007745,0.002086,0.024562,0.626783
287,W,0.049685,0.001159,0.016538,0.305881
288,W,0.018912,0.003548,0.016477,0.458345
289,W,0.026050,0.001598,0.020285,0.178566
290,W,0.003993,0.001351,0.027983,0.666876
291,W,0.020627,0.002480,0.013696,0.515223
292,W,0.013492,0.003691,0.016686,0.998040
293,W,0.006504,0.001423,0.007212,0.991888
294,W,0.029562,0.000592,0.006577,0.846476
295,W,0.020293,0.000777,0.011231,0.842698
296,W,0.008942,0.003175,0.017714,0.949608
297,W,0.028291,0.001664,0.007630,0.302116
298,W,0.007066,0.002556,0.027874,0.368032
299,W,0.011236,0.001445,0.014562,0.445640
300,W,0.037248,0.005410,0.015736,0.311084
301,W,0.007427,0.000895,0.015078,0.401215
302,W,0.006654,0.000274,0.010538,1.137104
303,W,0.048071,0.000788,0.006473,0.445401
304,W,0.006162,0.004704,0.035715,0.863946
305,W,0.027998,0.000561,0.024445,0.828785
306,W,0.040461,0.002177,0.017911,0.530354
307,W,0.050010,0.000330,0.012734,0.329583
308,W,0.012399,0.001835,0.032837,0.632172
309,W,0.001819,0.000534,0.005474,0.652153
310,W,0.018844,0.001742,0.013648,0.986123
311,W,0.013482,0.000773,0.010055,0.387076
312,W,0.028720,0.001436,0.013505,0.693250
313,W,0.007066,0.002240,0.047744,1.282508
314,W,0.015186,0.000468,0.037362,0.516875
315,W,0.019876,0.000572,0.008814,0.319070
316,W,0.024987,0.000269,0.004090,1.680930
317,W,0.067067,0.001390,0.023178,0.714327
318,W,0.008336,0.002733,0.013543,0.624536
319,W,0.033239,0.004509,0.011197,0.738752
320,W,0.045038,0.003772,0.005197,0.894001
321,W,0.089501,0.001642,0.008511,0.519226
322,W,0.015081,0.000389,0.019787,0.122687
323,W,0.053328,0.003915,0.007508,0.228044
324,W,0.080611,0.000759,0.018484,0.645633
325,W,0.009375,0.000889,0.018058,0.691219
326,W,0.031840,0.001048,0.004119,0.872276
327,W,0.002010,0.002512,0.013442,0.626044
328,W,0.018813,0.002695,0.010252,0.861539
329,W,0.030483,0.000588,0.003547,0.363224
330,W,0.015127,0.001831,0.008081,0.720002
331,W,0.012092,0.000857,0.007762,1.067002
332,W,0.050497,0.002443,0.007640,0.639375
333,W,0.005712,0.002923,0.006949,0.634766
334,W,0.004390,0.002633,0.024823,0.955666
335,W,0.019456,0.000395,0.023085,0.617794
336,W,0.059173,0.001559,0.020665,1.214681
337,W,0.014136,0.002395,0.008067,1.279584
338,W,0.011024,0.002267,0.028992,1.269861
339,W,0.004129,0.000622,0.019689,0.953782
340,W,0.032869,0.001863,0.021356,0.561264
341,W,0.024613,0.003084,0.035585,0.308473
342,W,0.035525,0.004495,0.023272,0.929873
343,W,0.005040,0.001569,0.020745,0.328436
344,W,0.013355,0.003315,0.028165,0.445763
345,W,0.027139,0.000403,0.008204,0.950353
346,W,0.073030,0.000411,0.006516,0.443593
347,W,0.076859,0.000809,0.003925,1.461830
348,W,0.017515,0.000457,0.007014,0.485985
349,W,0.012395,0.002823,0.015261,0.645217
350,W,0.050399,0.003277,0.048140,0.656306
351,W,0.015292,0.002471,0.009310,0.739355
352,W,0.056702,0.000215,0.024063,0.906830
353,W,0.022899,0.003301,0.012000,0.961033
354,W,0.036615,0.001412,0.015105,0.531476
355,W,0.015856,0.000595,0.044663,0.339480
356,W,0.012613,0.001111,0.011658,0.642600
357,W,0.019787,0.001111,0.046275,0.916606
358,W,0.010670,0.000125,0.005139,1.343422
359,W,0.017084,0.001143,0.011233,0.728050
360,W,0.008598,0.000393,0.008071,0.530341
361,W,0.031627,0.000642,0.009368,1.427523
362,W,0.011174,0.000089,0.004635,1.705147
363,W,0.008564,0.001494,0.014673,0.382391
364,W,0.007190,0.001643,0.014811,0.522845
365,W,0.020212,0.001164,0.009443,1.072455
366,W,0.099944,0.000941,0.006615,0.470738
367,W,0.046867,0.000855,0.012978,0.693266
368,W,0.033805,0.004354,0.008533,0.488717
369,W,0.038909,0.001966,0.014222,0.790528
370,W,0.005121,0.002523,0.020600,0.686642
371,W,0.012068,0.001540,0.018072,0.530601
372,W,0.023252,0.002897,0.018107,0.530709
373,W,0.005800,0.000326,0.038480,0.589987
374,W,0.008958,0.000746,0.006230,0.430317
375,W,0.012374,0.001247,0.024629,0.299525
376,W,0.015845,0.000414,0.006526,0.521303
377,W,0.004518,0.003118,0.017440,1.374547
378,W,0.007280,0.000684,0.006457,1.163362
379,W,0.018088,0.000395,0.005641,0.778892
380,W,0.008227,0.000738,0.012425,0.606994
381,W,0.006745,0.000408,0.007532,0.952388
382,W,0.023316,0.000452,0.029815,0.809171
383,W,0.010176,0.000476,0.016278,0.721453
384,W,0.013831,0.002128,0.012204,0.792739
385,W,0.003636,0.001362,0.023849,1.352519
386,W,0.020049,0.001444,0.014596,0.383677
387,W,0.017733,0.002521,0.033279,0.585056
388,W,0.013898,0.002612,0.035304,0.545913
389,W,0.049831,0.000527,0.007047,0.588687
390,W,0.026744,0.000542,0.007585,0.490107
391,W,0.015830,0.000811,0.016290,0.574565
392,W,0.013590,0.002551,0.006595,0.696886
393,W,0.057401,0.000217,0.004594,0.357635
394,W,0.008024,0.000633,0.026270,1.143569
395,W,0.013015,0.004743,0.074697,0.712438
396,W,0.021291,0.002457,0.066880,0.626333
397,W,0.036470,0.003439,0.011149,0.299726
398,W,0.031377,0.001058,0.013927,0.363713
399,W,0.015039,0.001300,0.021681,0.788288
400,W,0.052123,0.000905,0.010061,0.676159
401,W,0.050677,0.002091,0.008482,0.212317
402,W,0.062481,0.001753,0.008609,0.671045
403,W,0.053899,0.001167,0.003802,0.997913
404,W,0.025029,0.001979,0.006933,0.507224
405,W,0.063343,0.000825,0.005612,0.390228
406,W,0.048461,0.001329,0.034009,0.546070
407,W,0.087351,0.001655,0.016760,0.919872
408,W,0.020969,0.000493,0.019368,0.356884
409,W,0.009520,0.000136,0.034368,0.616762
410,W,0.004819,0.001101,0.007402,0.708843
411,W,0.019939,0.004081,0.006998,0.325323
412,W,0.013389,0.001632,0.004109,0.524573
413,W,0.082958,0.000980,0.004475,0.371070
414,W,0.019471,0.003873,0.022224,0.543319
415,W,0.200685,0.000294,0.010167,0.328179
416,W,0.043340,0.000158,0.004664,0.285750
417,W,0.031644,0.000673,0.029852,0.216031
418,W,0.032087,0.001757,0.007619,0.355113
419,W,0.006921,0.000225,0.009022,0.548316
420,W,0.006872,0.002958,0.014844,0.816998
421,W,0.037356,0.001994,0.014166,0.789928
422,W,0.003402,0.000607,0.013479,0.624682
423,W,0.051244,0.000582,0.007808,0.232242
424,W,0.011382,0.001710,0.014691,0.927100
425,W,0.029205,0.003632,0.010038,0.165978
426,W,0.012755,0.002755,0.007406,0.193464
427,W,0.366055,0.001265,0.004428,0.425609
428,W,0.047421,0.001690,0.018692,0.649134
429,W,0.021999,0.004386,0.014109,0.379238
430,W,0.044881,0.001426,0.008466,0.569466
431,W,0.088634,0.002737,0.006194,0.284290
432,W,0.044150,0.001611,0.011542,0.140692
433,W,0.110700,0.004534,0.022679,0.307208
434,W,0.023310,0.003756,0.017612,0.326130
435,W,0.020591,0.000150,0.012049,0.281180
436,W,0.045231,0.001193,0.046764,0.442400
437,W,0.011795,0.003886,0.028204,0.794352
438,W,0.032058,0.001262,0.009118,0.456936
439,W,0.001863,0.000236,0.038108,0.280542
440,W,0.012730,0.001483,0.014783,0.720090
441,W,0.024021,0.001261,0.010131,0.748184
442,W,0.087952,0.000682,0.023669,0.584019
443,W,0.014181,0.003119,0.013509,0.432976
444,W,0.028069,0.001618,0.019400,0.975050
445,W,0.038024,0.003662,0.007235,0.414902
446,W,0.011616,0.001063,0.004872,0.363424
447,W,0.006205,0.001654,0.025520,0.445965
448,W,0.021751,0.001653,0.009773,0.273284
449,W,0.013430,0.001949,0.019016,0.398163
450,W,0.009051,0.000698,0.016575,0.647398
451,W,0.010551,0.000290,0.006395,0.301747
452,W,0.013015,0.002450,0.006645,0.794189
453,W,0.010153,0.003028,0.009852,0.509840
454,W,0.031161,0.001566,0.008449,1.234383
455,W,0.004876,0.000219,0.019152,0.298354
456,W,0.044935,0.001207,0.035008,0.802431
457,W,0.025522,0.001214,0.010297,0.591110
458,W,0.018904,0.000340,0.031668,1.266259
459,W,0.051961,0.000381,0.006728,0.510311
460,W,0.055576,0.003406,0.010308,0.733397
461,W,0.015852,0.000562,0.011268,0.844909
462,W,0.026582,0.001004,0.006210,0.900902
463,W,0.020865,0.001340,0.005445,0.986951
464,W,0.017577,0.000940,0.008047,0.554652
465,W,0.038921,0.001099,0.003704,0.534836
466,W,0.007590,0.000480,0.015429,1.203035
467,W,0.015003,0.000973,0.007834,0.479243
468,W,0.052787,0.001336,0.015087,0.832274
469,W,0.066893,0.000514,0.019882,0.578618
470,W,0.001148,0.000715,0.004532,0.536106
471,W,0.028846,0.001283,0.012258,0.613782
472,W,0.002181,0.000363,0.016525,0.532339
473,W,0.027513,0.000081,0.023753,0.278209
474,W,0.007920,0.001635,0.006701,0.270223
475,W,0.027588,0.000661,0.020580,0.933635
476,W,0.025152,0.000291,0.003789,0.603822
477,W,0.024349,0.002504,0.019727,1.125077
478,W,0.022425,0.002010,0.018205,0.879208
479,W,0.012790,0.000352,0.006278,0.051670
480,W,0.014514,0.000673,0.014732,0.686040
481,W,0.013938,0.001193,0.007741,0.537710
482,W,0.032315,0.000949,0.019913,0.386178
483,W,0.049593,0.001232,0.032612,0.516842
484,W,0.008946,0.001534,0.012795,0.541169
485,W,0.119543,0.001499,0.011424,0.453025
486,W,0.043106,0.004048,0.010373,0.863792
487,W,0.038092,0.005244,0.009527,0.496687
488,W,0.011990,0.000404,0.024076,0.737319
489,W,0.010399,0.001532,0.025717,0.584416
490,W,0.033651,0.001806,0.024620,0.135666
491,W,0.012823,0.001223,0.011811,0.191161
492,W,0.022430,0.000338,0.005897,0.404874
493,W,0.013918,0.000959,0.011588,0.357409
494,W,0.030789,0.001150,0.026443,0.314721
495,W,0.002741,0.000144,0.010973,0.413101
496,W,0.008222,0.000860,0.014447,0.367522
497,W,0.009812,0.001066,0.028516,0.254573
498,W,0.018250,0.001313,0.012726,0.311780
499,W,0.026470,0.001342,0.005561,0.508867
500,W,0.031861,0.002416,0.030118,0.478833
501,W,0.015795,0.000405,0.006173,0.631361
502,W,0.014989,0.000589,0.003523,0.766659
503,W,0.004828,0.000714,0.017931,0.488639
504,W,0.016357,0.000362,0.020003,0.326034
505,W,0.002673,0.001234,0.022098,0.976272
506,W,0.014956,0.001488,0.022630,1.340553
507,W,0.033860,0.002670,0.008333,1.073313
508,W,0.018881,0.001188,0.028323,1.073985
509,W,0.021196,0.002895,0.013006,0.490509
510,W,0.016007,0.000537,0.040119,0.753808
511,W,0.032378,0.001963,0.027366,0.860023
512,W,0.080613,0.000331,0.010615,0.193019
513,W,0.004223,0.000115,0.025930,0.701330
514,W,0.038049,0.001614,0.029258,0.511262
515,W,0.039914,0.000614,0.009800,0.202120
516,W,0.011664,0.001551,0.024143,0.568652
517,W,0.013148,0.000933,0.018372,0.146558
518,W,0.033954,0.000370,0.009688,0.599235
519,W,0.007654,0.001035,0.011487,0.790838
520,W,0.015765,0.004240,0.021124,0.659129
521,W,0.004819,0.000256,0.019694,0.555576
522,W,0.044200,0.003628,0.010768,0.469384
523,W,0.064779,0.000926,0.046300,1.023524
524,W,0.006584,0.000025,0.049696,0.580543
525,W,0.005920,0.000872,0.021334,1.329077
526,W,0.098553,0.001805,0.003298,0.385562
527,W,0.023231,0.001780,0.006226,0.415956
528,W,0.014130,0.003674,0.011736,0.304704
529,W,0.011012,0.003911,0.007985,0.229124
530,W,0.034858,0.000603,0.019330,0.459439
531,W,0.012479,0.001234,0.014886,0.583736
532,W,0.016610,0.000244,0.003371,0.509352
533,W,0.007882,0.001810,0.019064,0.701278
534,W,0.024412,0.000990,0.010347,0.773131
535,W,0.093091,0.000038,0.007954,0.591198
536,W,0.032001,0.000620,0.014592,0.339094
537,W,0.015476,0.000170,0.025921,0.300025
538,W,0.005448,0.001289,0.006107,0.826601
539,W,0.006768,0.000292,0.016325,0.394350
540,W,0.005891,0.003608,0.014969,0.960999
541,W,0.030655,0.000418,0.057468,0.166265
542,W,0.038829,0.001080,0.038591,0.561026
543,W,0.017160,0.001452,0.011257,0.827229
544,W,0.006367,0.002014,0.038501,1.504018
545,W,0.004720,0.002172,0.008311,0.632776
546,W,0.012878,0.002206,0.105841,0.660571
547,W,0.005891,0.001360,0.031272,0.583543
548,W,0.039830,0.000946,0.013198,0.612328
549,W,0.002863,0.000479,0.006238,0.280242
550,W,0.003756,0.000356,0.040685,0.655875
551,W,0.048871,0.000322,0.024341,0.217136
552,W,0.013189,0.003140,0.027875,0.553466
553,W,0.003402,0.002110,0.062971,0.290903
554,W,0.033041,0.002537,0.037348,0.934797
555,W,0.043573,0.002539,0.056208,0.336940
556,W,0.029598,0.001112,0.022238,0.568042
557,W,0.023518,0.001249,0.005760,0.208468
558,W,0.010277,0.000986,0.018642,0.376549
559,W,0.018773,0.000442,0.059489,0.530249
560,W,0.007078,0.000273,0.008331,0.009064
561,W,0.012809,0.003413,0.056324,0.468101
562,W,0.019286,0.003020,0.019818,0.405017
563,W,0.010532,0.004335,0.015714,0.386633
564,W,0.003651,0.000443,0.014644,0.709501
565,W,0.001470,0.000665,0.021607,0.694987
566,W,0.029095,0.002948,0.041111,0.699557
567,W,0.003028,0.002032,0.110672,0.373248
568,W,0.013817,0.002385,0.017329,0.540225
569,W,0.003847,0.000685,0.032083,0.615393
570,W,0.026393,0.001366,0.020922,0.253693
571,W,0.009225,0.000590,0.028945,0.178324
572,W,0.020900,0.000500,0.012945,0.781460
573,W,0.005096,0.000092,0.002253,0.461558
574,W,0.025087,0.001569,0.022134,0.652532
575,W,0.024893,0.001671,0.014635,0.679745
576,W,0.000825,0.002693,0.078870,0.296385
577,W,0.003443,0.001094,0.009741,0.130252
578,W,0.003788,0.001954,0.027563,0.633203
579,W,0.008894,0.000066,0.052060,0.457632
